"","Species","CountryOrigin","FragranceAroma","Flavor","Aftertaste","SaltAcid","Mouthfeel","Balance","BitterSweet","UniformCup","CleanCup","CupperPoints","qualityscore","clust"
"221","Arabica","Thailand",7.83,7.75,7.75,7.42,7.67,10,7.83,10,10,8,84.25,"5"
"222","Arabica","Colombia",7.83,7.58,7.75,7.58,8,10,7.67,10,10,7.83,84.25,"5"
"223","Arabica","Guatemala",7.75,7.75,7.58,7.92,7.75,10,7.75,10,10,7.75,84.25,"6"
"224","Arabica","Guatemala",7.75,7.92,7.5,8.08,7.67,10,7.58,10,10,7.75,84.25,"6"
"225","Arabica","China",7.83,7.83,7.58,7.75,7.75,10,7.75,10,10,7.75,84.25,"5"
"226","Arabica","Colombia",7.67,7.67,7.75,7.75,7.92,10,7.67,10,10,7.83,84.25,"5"
"227","Arabica","Colombia",7.83,7.67,7.75,7.58,7.75,10,7.92,10,10,7.75,84.25,"5"
"228","Arabica","Colombia",7.83,7.75,7.83,7.58,7.75,10,7.67,10,10,7.83,84.25,"5"
"229","Arabica","Colombia",7.42,7.67,7.83,7.75,7.83,10,7.92,10,10,7.83,84.25,"5"
"230","Arabica","Tanzania, United Republic Of",7.83,7.67,7.75,7.83,7.67,10,7.67,10,10,7.83,84.25,"5"
"231","Arabica","Tanzania, United Republic Of",7.83,7.75,7.75,7.75,7.75,10,7.67,10,10,7.75,84.25,"5"
"232","Arabica","Guatemala",7.83,7.83,7.5,7.92,7.75,10,7.58,10,10,7.83,84.25,"6"
"233","Arabica","Colombia",7.58,7.5,7.75,7.83,7.83,10,7.92,10,10,7.83,84.25,"5"
"234","Arabica","United States (Hawaii)",7.33,7.92,7.92,7.92,8.08,9.33,7.92,10,10,7.83,84.25,"3"
"235","Arabica","Mexico",7.83,7.92,7.67,7.83,7.75,10,7.5,10,10,7.75,84.25,"5"
"236","Arabica","Mexico",7.83,7.83,7.75,7.67,7.58,10,7.83,10,10,7.75,84.25,"5"
"237","Arabica","Mexico",7.83,7.92,7.67,7.75,7.75,10,7.5,10,10,7.83,84.25,"5"
"238","Arabica","Uganda",8.17,7.75,7.58,7.67,7.58,10,7.83,10,10,7.67,84.25,"6"
"239","Arabica","Guatemala",7.75,7.83,7.58,7.83,7.75,10,7.67,10,10,7.75,84.17,"6"
"240","Arabica","Colombia",7.83,7.75,7.58,7.67,7.83,10,7.75,10,10,7.75,84.17,"5"
"241","Arabica","Costa Rica",7.92,7.75,7.67,7.67,7.67,10,7.5,10,10,8,84.17,"5"
"242","Arabica","Guatemala",7.75,7.75,7.58,8,7.83,10,7.67,10,10,7.58,84.17,"6"
"243","Arabica","Guatemala",7.75,7.92,7.58,7.92,7.67,10,7.67,10,10,7.67,84.17,"6"
"244","Arabica","Guatemala",7.58,7.83,7.58,7.83,7.67,10,7.83,10,10,7.83,84.17,"6"
"245","Arabica","Colombia",8,7.5,7.5,7.67,7.83,10,8,10,10,7.67,84.17,"5"
"246","Arabica","Nicaragua",7.67,7.83,7.83,7.5,7.83,10,7.67,10,10,7.83,84.17,"5"
"247","Arabica","Brazil",7.67,7.75,7.75,7.67,7.75,10,7.83,10,10,7.75,84.17,"5"
"248","Arabica","Costa Rica",7.67,7.75,7.67,7.75,8,10,7.5,10,10,7.83,84.17,"5"
